job_id,job_title,company,location,experience_level,employment_type,salary_inr,remote_ratio,skills,posted_date
JM26-0440,AI Engineer,FinEdge,Chennai,Entry,Contract,910000.0,100,"Deep Learning, LLM, Python, Machine Learning, PyTorch",2026-02-20
JM26-1191,Machine Learning Engineer,NextGen Analytics,Delhi NCR,Senior,Full-time,1790000.0,0,"Machine Learning, Docker, TensorFlow, Python",2026-07-30
JM26-0297,Python Developer,DataSphere,Noida,Senior,Full-time,1140000.0,100,"REST API, Django, SQL",2026-05-03
JM26-0831,AI Engineer,Vertex Systems,Bengaluru,Mid,Full-time,1690000.0,50,"Deep Learning, LLM, PyTorch, Python, Machine Learning",2026-06-15
JM26-0705,Data Scientist,QuantifyAI,Delhi NCR,Mid,Full-time,1130000.0,100,"Pandas, Statistics, SQL, Machine Learning",2026-05-28
JM26-0363,Data Analyst,DigitalCore,Noida,Entry,Full-time,390000.0,0,"Excel, SQL, Power BI, Python",2026-01-15
JM26-0731,Data Scientist,TechNova,Delhi NCR,Mid,Full-time,1090000.0,0,"Statistics, Machine Learning, SQL, Python, Pandas",2026-03-02
JM26-0232,Machine Learning Engineer,FinEdge,Delhi NCR,Mid,Full-time,1280000.0,100,"Machine Learning, Docker, Python",2026-05-19
JM26-0071,Data Scientist,DataSphere,Ahmedabad,Mid,Full-time,760000.0,50,"Python, SQL, Pandas, Statistics",2026-07-05
JM26-0830,Data Scientist,NextGen Analytics,Delhi NCR,Mid,Full-time,820000.0,0,"Machine Learning, SQL, Python",2026-05-06
JM26-0050,Data Analyst,Apex Technologies,Kolkata,Mid,Contract,620000.0,100,"Python, Power BI, SQL",2026-04-06
JM26-0368,AI Engineer,DataSphere,Bengaluru,Senior,Full-time,1990000.0,100,"Deep Learning, Machine Learning, PyTorch, Python",2026-03-17
JM26-0668,Python Developer,DataSphere,Bengaluru,Entry,Contract,700000.0,0,"Git, SQL, Python",2026-01-27
JM26-0266,Data Analyst,InnovateLabs,Delhi NCR,Senior,Full-time,1040000.0,50,"Pandas, Excel, Python, SQL, Power BI",2026-04-07
JM26-0555,Data Analyst,InsightWorks,Hyderabad,Mid,Full-time,590000.0,100,"Pandas, Python, SQL",2026-01-05
JM26-0399,Machine Learning Engineer,DigitalCore,Gurugram,Senior,Full-time,2190000.0,100,"TensorFlow, PyTorch, Python, Docker",2026-05-29
JM26-0287,Data Analyst,FinEdge,Ahmedabad,Entry,Internship,150000.0,100,"Python, SQL, Excel",2026-02-26
JM26-0742,Data Analyst,QuantifyAI,Pune,Entry,Full-time,440000.0,50,"SQL, Excel, Pandas",2026-04-27
JM26-0171,Data Scientist,InsightWorks,Bengaluru,Entry,Internship,290000.0,50,"Python, SQL, Statistics, Machine Learning, Pandas",2026-06-08
JM26-0579,ML Researcher,DataSphere,Hyderabad,Senior,Full-time,2050000.0,50,"PyTorch, Research, Python, Deep Learning",2026-06-19
JM26-0574,Business Analyst,QuantifyAI,Noida,Lead,Full-time,1100000.0,50,"Communication, Excel, SQL, Tableau, Power BI",2026-05-20
JM26-0791,Data Scientist,DataSphere,Bengaluru,Entry,Full-time,790000.0,50,"Statistics, Python, SQL",2026-05-01
JM26-0483,AI Engineer,QuantifyAI,Chennai,Mid,Full-time,1390000.0,100,"Machine Learning, Deep Learning, LLM, Python",2026-01-11
JM26-0114,Data Engineer,BrightData,Bengaluru,Entry,Full-time,940000.0,100,"Python, AWS, ETL",2026-01-30
JM26-0077,Data Scientist,DigitalCore,Bengaluru,Entry,Full-time,930000.0,0,"Statistics, Python, Machine Learning, SQL",2026-01-10
JM26-0843,Data Engineer,CloudMatrix,Delhi NCR,Senior,Contract,1650000.0,100,"ETL, SQL, AWS",2026-01-06
JM26-0334,ML Researcher,BrightData,Chennai,Mid,Full-time,1330000.0,100,"Research, Statistics, Python, PyTorch",2026-03-31
JM26-0873,Python Developer,DataSphere,Hyderabad,Mid,Full-time,780000.0,50,"REST API, Git, Python",2026-01-12
JM26-0940,Data Analyst,NextGen Analytics,Noida,Mid,Full-time,590000.0,50,"Power BI, SQL, Python, Excel, Pandas",2026-08-24
JM26-0059,Data Analyst,FinEdge,Mumbai,Entry,Contract,540000.0,0,"Power BI, SQL, Pandas, Excel, Python",2026-08-24
JM26-0290,Data Analyst,DataSphere,Pune,Mid,Full-time,590000.0,0,"Python, Power BI, SQL",2026-08-21
JM26-0434,BI Analyst,Apex Technologies,Chennai,Senior,Full-time,990000.0,50,"Power BI, Data Visualization, Excel, SQL",2026-05-18
JM26-0528,Python Developer,CloudMatrix,Noida,Mid,Full-time,770000.0,100,"Git, Python, REST API",2026-05-28
JM26-1171,Machine Learning Engineer,NextGen Analytics,Pune,Senior,Full-time,1580000.0,50,"Machine Learning, Python, PyTorch, Docker, TensorFlow",2026-01-01
JM26-0993,BI Analyst,TechNova,Chennai,Lead,Full-time,1140000.0,0,"SQL, Power BI, Tableau",2026-02-23
JM26-0245,AI Engineer,Apex Technologies,Bengaluru,Mid,Internship,490000.0,50,"PyTorch, Machine Learning, Deep Learning, Python",2026-07-20
JM26-1024,Data Engineer,InsightWorks,Bengaluru,Mid,Part-time,760000.0,0,"ETL, SQL, AWS",2026-05-18
JM26-0024,Analytics Engineer,DataSphere,Delhi NCR,Entry,Contract,850000.0,100,"Data Modeling, dbt, SQL, Python",2026-04-07
JM26-1048,Business Analyst,DataSphere,Delhi NCR,Senior,Full-time,1220000.0,0,"Tableau, SQL, Excel, Power BI, Communication",2026-04-22
JM26-0102,Business Analyst,Vertex Systems,Mumbai,Senior,Full-time,920000.0,0,"Tableau, Power BI, Excel, SQL, Communication",2026-05-17
JM26-0044,Data Scientist,DigitalCore,Bengaluru,Mid,Full-time,1110000.0,50,"Machine Learning, Pandas, Python",2026-02-14
JM26-0267,Data Scientist,CloudMatrix,Pune,Senior,Full-time,1360000.0,50,"SQL, Statistics, Machine Learning, Python",2026-01-26
JM26-0241,BI Analyst,QuantifyAI,Hyderabad,Senior,Full-time,1200000.0,0,"Tableau, Data Visualization, Power BI, Excel, SQL",2026-01-20
JM26-0695,Analytics Engineer,Vertex Systems,Hyderabad,Mid,Contract,1050000.0,100,"Data Modeling, dbt, Python, SQL",2026-04-01
JM26-1097,Data Scientist,CloudMatrix,Chennai,Senior,Full-time,1410000.0,0,"SQL, Pandas, Machine Learning",2026-07-05
JM26-0732,Data Analyst,NextGen Analytics,Delhi NCR,Senior,Internship,300000.0,100,"Pandas, SQL, Excel",2026-05-15
JM26-0875,Business Analyst,CloudMatrix,Pune,Senior,Full-time,970000.0,50,"Tableau, SQL, Excel, Communication, Power BI",2026-02-03
JM26-0345,BI Analyst,CloudMatrix,Pune,Mid,Full-time,670000.0,0,"SQL, Tableau, Excel, Data Visualization",2026-02-11
JM26-0995,Analytics Engineer,QuantifyAI,Delhi NCR,Senior,Full-time,1110000.0,100,"ETL, dbt, SQL",2026-05-13
JM26-0372,Data Scientist,FinEdge,Mumbai,Senior,Full-time,1590000.0,50,"SQL, Statistics, Machine Learning, Python, Pandas",2026-05-03
JM26-0322,Data Engineer,Vertex Systems,Mumbai,Senior,Contract,1720000.0,0,"SQL, ETL, Python, AWS, Spark",2026-06-08
JM26-0963,Data Analyst,Apex Technologies,Pune,Mid,Full-time,700000.0,100,"SQL, Python, Pandas, Power BI, Excel",2026-04-25
JM26-1150,Analytics Engineer,CloudMatrix,Bengaluru,Senior,Full-time,1620000.0,50,"Data Modeling, Python, ETL",2026-08-17
JM26-1093,Data Scientist,DataSphere,Delhi NCR,Senior,Full-time,1520000.0,50,"Python, Machine Learning, Statistics, SQL, Pandas",2026-07-04
JM26-0498,AI Engineer,BrightData,Gurugram,Entry,Full-time,1030000.0,50,"Python, PyTorch, Machine Learning, Deep Learning",2026-03-05
JM26-1195,ML Researcher,FinEdge,Delhi NCR,Entry,Full-time,1200000.0,100,"Research, Deep Learning, Python, PyTorch, Statistics",2026-04-17
JM26-0052,Data Analyst,InsightWorks,Bengaluru,Senior,Full-time,1110000.0,100,"Python, SQL, Pandas",2026-04-01
JM26-1004,Data Analyst,DataSphere,Bengaluru,Senior,Full-time,1100000.0,50,"Excel, SQL, Pandas, Python, Power BI",2026-01-25
JM26-0462,Data Analyst,DataSphere,Delhi NCR,Mid,Full-time,560000.0,50,"Power BI, Python, Excel",2026-03-30
JM26-0315,Machine Learning Engineer,Vertex Systems,Noida,Senior,Full-time,1600000.0,0,"TensorFlow, PyTorch, Docker, Python",2026-06-08
JM26-0535,Data Analyst,InnovateLabs,Noida,Senior,Full-time,1030000.0,0,"Power BI, Python, Excel, Pandas, SQL",2026-05-25
JM26-0876,ML Researcher,InnovateLabs,Mumbai,Senior,Full-time,2280000.0,100,"Python, Deep Learning, PyTorch, Research, Statistics",2026-06-22
JM26-0210,Data Engineer,DataSphere,Chennai,Mid,Contract,1130000.0,50,"AWS, ETL, Python, Spark, SQL",2026-07-25
JM26-1025,AI Engineer,InnovateLabs,Noida,Entry,Full-time,900000.0,50,"LLM, Machine Learning, Python, PyTorch, Deep Learning",2026-07-09
JM26-0520,BI Analyst,CloudMatrix,Gurugram,Senior,Full-time,1210000.0,0,"Excel, Data Visualization, SQL",2026-05-24
JM26-0055,Business Analyst,DataSphere,Bengaluru,Mid,Full-time,730000.0,0,"Power BI, Tableau, Excel, SQL",2026-05-07
JM26-0772,Data Engineer,Vertex Systems,Ahmedabad,Senior,Full-time,1320000.0,0,"Python, Spark, AWS, ETL, SQL",2026-03-16
JM26-0603,Analytics Engineer,BrightData,Bengaluru,Entry,Full-time,790000.0,50,"Data Modeling, Python, SQL",2026-07-09
JM26-0234,AI Engineer,DigitalCore,Bengaluru,Mid,Full-time,1400000.0,100,"Python, PyTorch, LLM, Machine Learning, Deep Learning",2026-04-30
JM26-0057,Machine Learning Engineer,Vertex Systems,Chennai,Mid,Full-time,1150000.0,100,"Machine Learning, Docker, Python, PyTorch, TensorFlow",2026-08-14
JM26-0087,Business Analyst,DigitalCore,Pune,Senior,Full-time,1040000.0,0,"Power BI, Communication, Tableau, SQL",2026-03-31
JM26-0912,ML Researcher,Apex Technologies,Mumbai,Lead,Full-time,2680000.0,100,"Research, Statistics, PyTorch, Python, Deep Learning",2026-01-26
JM26-0459,BI Analyst,InsightWorks,Pune,Senior,Full-time,970000.0,50,"Tableau, SQL, Data Visualization, Excel",2026-06-24
JM26-0729,Machine Learning Engineer,BrightData,Bengaluru,Senior,Contract,,100,"Python, TensorFlow, Docker, Machine Learning",2026-02-04
JM26-1166,ML Researcher,Vertex Systems,Chennai,Senior,Full-time,1690000.0,50,"Research, Deep Learning, Statistics, PyTorch, Python",2026-08-10
JM26-0328,Data Engineer,Vertex Systems,Pune,Entry,Contract,930000.0,0,"ETL, SQL, Python, Spark, AWS",2026-05-11
JM26-0219,Analytics Engineer,InnovateLabs,Noida,Senior,Full-time,1270000.0,50,"ETL, dbt, Python, SQL",2026-04-18
JM26-0129,Data Analyst,NextGen Analytics,Hyderabad,Senior,Full-time,1060000.0,100,"Power BI, Excel, Python",2026-03-23
JM26-0771,Data Scientist,BrightData,Hyderabad,Lead,Full-time,1880000.0,0,"Machine Learning, Pandas, Statistics, SQL, Python",2026-03-23
JM26-0159,Business Analyst,CloudMatrix,Chennai,Mid,Part-time,420000.0,0,"Tableau, Power BI, SQL, Excel",2026-07-21
JM26-0721,Data Engineer,NextGen Analytics,Mumbai,Entry,Contract,800000.0,50,"Spark, AWS, Python, SQL, ETL",2026-01-21
JM26-0193,Data Analyst,QuantifyAI,Bengaluru,Mid,Full-time,840000.0,100,"Python, Power BI, Pandas",2026-06-19
JM26-0542,Data Engineer,NextGen Analytics,Hyderabad,Entry,Full-time,810000.0,0,"ETL, AWS, Spark, SQL, Python",2026-04-07
JM26-0808,Data Analyst,NextGen Analytics,Bengaluru,Entry,Full-time,510000.0,50,"Excel, Power BI, Pandas, Python",2026-03-25
JM26-0466,Business Analyst,DigitalCore,Noida,Entry,Contract,470000.0,0,"Tableau, Communication, SQL, Excel",2026-02-18
JM26-0740,Machine Learning Engineer,InnovateLabs,Bengaluru,Mid,Contract,1360000.0,0,"PyTorch, TensorFlow, Python, Machine Learning, Docker",2026-03-23
JM26-0381,Data Engineer,Vertex Systems,Noida,Entry,Full-time,790000.0,50,"ETL, Python, SQL, Spark, AWS",2026-03-18
JM26-0395,Data Analyst,DigitalCore,Gurugram,Senior,Full-time,820000.0,100,"Pandas, Excel, Python, SQL",2026-05-02
JM26-0416,Data Scientist,QuantifyAI,Bengaluru,Mid,Full-time,1430000.0,50,"Machine Learning, Statistics, SQL, Pandas",2026-03-22
JM26-0678,Data Engineer,DataSphere,Hyderabad,Mid,Contract,1070000.0,50,"Spark, Python, AWS, ETL, SQL",2026-07-02
JM26-0597,Business Analyst,Apex Technologies,Mumbai,Mid,Full-time,760000.0,0,"Communication, Tableau, Excel",2026-05-03
JM26-0886,Machine Learning Engineer,FinEdge,Hyderabad,Mid,Full-time,1170000.0,0,"TensorFlow, Docker, PyTorch, Python, Machine Learning",2026-04-05
JM26-0739,Machine Learning Engineer,QuantifyAI,Hyderabad,Senior,Full-time,1730000.0,50,"Python, Docker, TensorFlow",2026-06-28
JM26-0108,Data Scientist,BrightData,Delhi NCR,Lead,Full-time,2000000.0,0,"SQL, Python, Machine Learning, Pandas, Statistics",2026-06-29
JM26-0428,BI Analyst,QuantifyAI,Bengaluru,Entry,Full-time,590000.0,0,"Excel, Power BI, Data Visualization, Tableau, SQL",2026-04-13
JM26-0276,Machine Learning Engineer,TechNova,Mumbai,Mid,Full-time,1300000.0,50,"Docker, TensorFlow, Python",2026-07-12
JM26-1035,Machine Learning Engineer,BrightData,Chennai,Entry,Full-time,1010000.0,100,"PyTorch, TensorFlow, Machine Learning, Python, Docker",2026-02-25
JM26-0951,Data Engineer,DigitalCore,Delhi NCR,Entry,Full-time,810000.0,0,"ETL, Python, AWS, Spark",2026-07-17
JM26-0169,Data Scientist,InnovateLabs,Bengaluru,Mid,Full-time,1110000.0,0,"Python, SQL, Machine Learning",2026-07-08
JM26-1119,Data Scientist,NextGen Analytics,Mumbai,Mid,Full-time,1050000.0,100,"Python, Machine Learning, Statistics, SQL",2026-05-03
JM26-0980,Data Scientist,InnovateLabs,Ahmedabad,Lead,Full-time,1570000.0,0,"Statistics, Pandas, Machine Learning",2026-01-04
JM26-0082,Machine Learning Engineer,Vertex Systems,Pune,Entry,Full-time,840000.0,100,"PyTorch, TensorFlow, Python, Machine Learning, Docker",2026-04-06
JM26-0199,Data Scientist,InnovateLabs,Mumbai,Lead,Full-time,2130000.0,0,"SQL, Machine Learning, Statistics",2026-05-22
JM26-0981,Python Developer,CloudMatrix,Gurugram,Mid,Full-time,710000.0,100,"REST API, SQL, Python, Django",2026-01-25
JM26-0378,Machine Learning Engineer,Vertex Systems,Noida,Mid,Full-time,1220000.0,0,"Docker, Machine Learning, Python",2026-03-24
JM26-0356,Data Engineer,InnovateLabs,Gurugram,Senior,Full-time,1410000.0,0,"ETL, AWS, SQL, Spark",2026-06-08
JM26-0589,Data Scientist,BrightData,Noida,Entry,Full-time,710000.0,50,"SQL, Python, Pandas",2026-03-13
JM26-0421,AI Engineer,InsightWorks,Bengaluru,Mid,Full-time,1570000.0,0,"Python, Machine Learning, LLM, PyTorch",2026-08-07
JM26-0895,Business Analyst,InsightWorks,Kolkata,Mid,Full-time,520000.0,100,"SQL, Communication, Tableau",2026-06-05
JM26-1002,Machine Learning Engineer,DigitalCore,Kolkata,Senior,Part-time,910000.0,100,"Docker, PyTorch, Machine Learning, Python, TensorFlow",2026-02-06
JM26-1068,Business Analyst,BrightData,Mumbai,Mid,Full-time,830000.0,100,"Communication, SQL, Excel, Tableau, Power BI",2026-03-26
JM26-0715,BI Analyst,InsightWorks,Bengaluru,Mid,Full-time,780000.0,0,"Data Visualization, SQL, Tableau, Excel",2026-01-28
JM26-0410,Python Developer,DigitalCore,Pune,Entry,Full-time,540000.0,0,"SQL, REST API, Django, Git, Python",2026-03-11
JM26-0865,Data Analyst,,Pune,Mid,Full-time,680000.0,0,"Pandas, Excel, SQL, Python, Power BI",2026-06-20
JM26-0200,Data Scientist,CloudMatrix,Pune,Lead,Full-time,1620000.0,50,"Python, Pandas, SQL, Machine Learning, Statistics",2026-05-20
JM26-0211,Business Analyst,InnovateLabs,Gurugram,Senior,Full-time,900000.0,0,"Excel, SQL, Tableau",2026-08-25
JM26-0433,Business Analyst,CloudMatrix,Delhi NCR,Mid,Full-time,730000.0,50,"Tableau, Excel, SQL",2026-05-08
JM26-0919,Data Scientist,Vertex Systems,Bengaluru,Entry,Full-time,920000.0,0,"Pandas, SQL, Statistics, Machine Learning, Python",2026-06-19
JM26-0423,Data Analyst,InsightWorks,Gurugram,Entry,Full-time,450000.0,0,"SQL, Excel, Power BI",2026-01-13
JM26-0431,Analytics Engineer,InsightWorks,Pune,Entry,Full-time,730000.0,100,"Python, dbt, ETL, Data Modeling",2026-04-01
JM26-0753,Data Scientist,Apex Technologies,Gurugram,Mid,Full-time,960000.0,0,"Python, Pandas, Statistics, Machine Learning, SQL",2026-03-20
JM26-1053,Data Scientist,Apex Technologies,Pune,Entry,Full-time,670000.0,0,"SQL, Pandas, Statistics, Machine Learning, Python",2026-08-07
JM26-0799,Business Analyst,InnovateLabs,Noida,Entry,Full-time,360000.0,50,"Power BI, Tableau, SQL, Communication, Excel",2026-08-08
JM26-0291,BI Analyst,Apex Technologies,Bengaluru,Lead,Full-time,1440000.0,50,"Tableau, Power BI, Data Visualization, Excel",2026-04-22
JM26-0221,Data Scientist,TechNova,Chennai,Senior,Full-time,1500000.0,100,"Pandas, SQL, Statistics, Python",2026-02-26
JM26-0839,Machine Learning Engineer,Apex Technologies,Delhi NCR,Mid,Full-time,1340000.0,0,"Machine Learning, Docker, PyTorch",2026-01-30
JM26-0576,Data Engineer,Vertex Systems,Mumbai,Senior,Full-time,1780000.0,50,"ETL, Spark, SQL, Python",2026-05-26
JM26-0156,AI Engineer,Apex Technologies,Bengaluru,Senior,Full-time,1880000.0,50,"Deep Learning, LLM, Python",2026-03-19
JM26-0136,Data Analyst,BrightData,Noida,Mid,Internship,200000.0,0,"Power BI, Python, SQL, Excel",2026-05-02
JM26-1172,Business Analyst,QuantifyAI,Hyderabad,Entry,Full-time,610000.0,0,"Power BI, SQL, Excel",2026-07-29
JM26-1059,Data Engineer,QuantifyAI,Bengaluru,Entry,Full-time,890000.0,50,"ETL, Python, SQL, AWS, Spark",2026-05-06
JM26-0661,Data Scientist,NextGen Analytics,Delhi NCR,Mid,Internship,380000.0,50,"Python, Pandas, Machine Learning",2026-02-10
JM26-0141,Data Engineer,CloudMatrix,Bengaluru,Mid,Full-time,1280000.0,100,"ETL, SQL, AWS, Python, Spark",2026-04-19
JM26-0424,Data Analyst,NextGen Analytics,Bengaluru,Lead,Part-time,910000.0,0,"Excel, Power BI, Pandas, SQL",2026-05-31
JM26-0271,Data Analyst,FinEdge,Kolkata,Mid,Full-time,600000.0,0,"Excel, Power BI, Python",2026-03-12
JM26-0967,Python Developer,Apex Technologies,Noida,Senior,Full-time,1190000.0,50,"Python, Django, REST API, Git",2026-03-29
JM26-0631,Analytics Engineer,FinEdge,Pune,Senior,Internship,570000.0,0,"ETL, Python, Data Modeling, SQL",2026-07-03
JM26-0333,Business Analyst,QuantifyAI,Mumbai,Mid,Full-time,820000.0,0,"Tableau, Power BI, SQL, Excel",2026-07-14
JM26-1034,Analytics Engineer,NextGen Analytics,Kolkata,Entry,Full-time,670000.0,50,"Python, Data Modeling, dbt, SQL",2026-08-25
JM26-0472,Data Engineer,CloudMatrix,Delhi NCR,Mid,Full-time,1270000.0,100,"Python, ETL, Spark, AWS",2026-01-11
JM26-0465,Data Engineer,CloudMatrix,Kolkata,Mid,Full-time,1170000.0,0,"AWS, ETL, Spark, Python",2026-03-19
JM26-0329,AI Engineer,Apex Technologies,Bengaluru,Mid,Full-time,1610000.0,100,"Python, LLM, Deep Learning",2026-01-15
JM26-0701,Data Scientist,QuantifyAI,Delhi NCR,Lead,Full-time,1950000.0,0,"Python, Machine Learning, SQL, Pandas, Statistics",2026-08-09
JM26-0185,Business Analyst,QuantifyAI,Ahmedabad,Entry,Full-time,450000.0,0,"Tableau, Excel, Power BI",2026-02-15
JM26-0554,Analytics Engineer,CloudMatrix,Gurugram,Senior,Full-time,1530000.0,50,"dbt, SQL, Data Modeling, ETL",2026-01-01
JM26-0310,Data Analyst,NextGen Analytics,Chennai,Mid,Contract,600000.0,100,"Pandas, Python, Excel",2026-04-30
JM26-0849,Data Analyst,TechNova,Bengaluru,Senior,Full-time,1050000.0,50,"Excel, Pandas, Power BI, SQL, Python",2026-06-16
JM26-0164,Data Analyst,NextGen Analytics,Bengaluru,Mid,Full-time,720000.0,0,"Power BI, Pandas, SQL, Excel",2026-03-25
JM26-1148,BI Analyst,NextGen Analytics,Gurugram,Lead,Full-time,1530000.0,50,"SQL, Tableau, Power BI, Excel, Data Visualization",2026-05-08
JM26-0935,Business Analyst,FinEdge,Mumbai,Mid,Full-time,730000.0,0,"Communication, Excel, Tableau, SQL, Power BI",2026-02-04
JM26-0157,Data Scientist,TechNova,Mumbai,Entry,Full-time,940000.0,100,"Python, Statistics, SQL",2026-07-31
JM26-0860,Data Engineer,Vertex Systems,Bengaluru,Entry,Contract,890000.0,100,"AWS, ETL, Python",2026-05-29
JM26-0763,Data Analyst,InsightWorks,Mumbai,Entry,Full-time,580000.0,0,"Power BI, Pandas, SQL, Excel",2026-07-24
JM26-0760,Data Engineer,NextGen Analytics,Delhi NCR,Mid,Full-time,1230000.0,0,"Spark, SQL, AWS, Python",2026-01-15
JM26-0939,Analytics Engineer,DigitalCore,Gurugram,Mid,Full-time,1050000.0,100,"Python, ETL, SQL, Data Modeling, dbt",2026-04-18
JM26-0320,Analytics Engineer,InsightWorks,Bengaluru,Mid,Full-time,1200000.0,50,"SQL, Data Modeling, dbt",2026-04-29
JM26-0890,Business Analyst,CloudMatrix,Pune,Mid,Full-time,610000.0,100,"Power BI, Excel, SQL, Tableau, Communication",2026-06-12
JM26-0585,Analytics Engineer,DataSphere,Hyderabad,Entry,Part-time,480000.0,0,"Data Modeling, SQL, Python",2026-08-25
JM26-0658,Data Scientist,InnovateLabs,Hyderabad,Entry,Full-time,620000.0,50,"Machine Learning, Pandas, Statistics, Python",2026-01-04
JM26-1062,AI Engineer,CloudMatrix,Ahmedabad,Senior,Part-time,1050000.0,0,"Python, PyTorch, Machine Learning",2026-07-07
JM26-0719,AI Engineer,DataSphere,Delhi NCR,Entry,Contract,1020000.0,0,"LLM, Deep Learning, Machine Learning, PyTorch, Python",2026-02-02
JM26-0733,Data Analyst,InnovateLabs,Gurugram,Entry,Full-time,480000.0,50,"Python, SQL, Excel, Pandas",2026-05-08
JM26-0960,Data Engineer,Apex Technologies,Bengaluru,Senior,Full-time,1920000.0,0,"ETL, AWS, SQL, Spark",2026-03-16
JM26-0614,Python Developer,DigitalCore,Hyderabad,Senior,Full-time,1160000.0,0,"Python, Django, SQL",2026-06-13
JM26-0244,Data Engineer,NextGen Analytics,Bengaluru,Senior,Full-time,1560000.0,50,"AWS, Spark, Python, ETL",2026-03-03
JM26-0514,Data Scientist,DigitalCore,Noida,Senior,Full-time,1390000.0,50,"Statistics, Pandas, SQL, Machine Learning, Python",2026-06-17
JM26-0097,Machine Learning Engineer,BrightData,Bengaluru,Mid,Full-time,1620000.0,50,"TensorFlow, PyTorch, Python",2026-05-21
JM26-0696,Data Engineer,InnovateLabs,Bengaluru,Entry,Full-time,880000.0,0,"AWS, Spark, ETL",2026-02-24
JM26-0823,Data Scientist,CloudMatrix,Bengaluru,Senior,Full-time,2080000.0,50,"SQL, Python, Machine Learning, Pandas",2026-07-14
JM26-0179,Analytics Engineer,InnovateLabs,Delhi NCR,Entry,Full-time,750000.0,100,"Python, ETL, dbt",2026-06-15
JM26-0032,Python Developer,InnovateLabs,Delhi NCR,Senior,Internship,400000.0,50,"Django, Python, REST API, Git",2026-02-21
JM26-0209,Data Analyst,InsightWorks,Noida,Senior,Internship,310000.0,100,"Pandas, Excel, Power BI, SQL, Python",2026-08-01
JM26-0858,ML Researcher,BrightData,Pune,Mid,Full-time,1550000.0,100,"Python, Statistics, PyTorch, Deep Learning",2026-05-25
JM26-0332,Data Scientist,InnovateLabs,Bengaluru,Mid,Full-time,1080000.0,0,"Statistics, SQL, Python, Machine Learning, Pandas",2026-04-03
JM26-1138,Machine Learning Engineer,TechNova,Pune,Mid,Full-time,1320000.0,50,"Docker, TensorFlow, Machine Learning, Python",2026-01-13
JM26-0382,Analytics Engineer,InsightWorks,Hyderabad,Entry,Full-time,780000.0,50,"SQL, Python, dbt, Data Modeling",2026-07-07
JM26-0623,Python Developer,InnovateLabs,Mumbai,Mid,Full-time,730000.0,100,"Django, REST API, SQL, Python, Git",2026-02-05
JM26-0197,AI Engineer,CloudMatrix,Mumbai,Entry,Full-time,1230000.0,0,"Machine Learning, PyTorch, Deep Learning, Python, LLM",2026-07-06
JM26-0448,AI Engineer,CloudMatrix,Gurugram,Entry,Full-time,1130000.0,50,"Machine Learning, PyTorch, LLM, Python, Deep Learning",2026-02-17
